O2 - (%),CO AF,CO - (ppm),CO2 - (%),X Air - (%),Draft - (iwg),NOx,Eff. (eta+) - (%),Eff. (eta) - (%),T flue - (�F),T air - (�F),Delta T (�F),Fan_ON,FLAME,Stead_State,Loop_Data
9.27,40,23,6.54,79,0.051,--,89.4,98.7,90.1,--,--,1,1,0,
9.28,40,22,6.53,79,0.051,--,89.4,98.7,90.1,--,--,1,1,0,
9.27,40,22,6.53,79,0.05,--,89.4,98.7,90.1,--,--,1,1,0,
9.27,39,22,6.53,79,0.05,--,89.4,98.7,90.1,--,--,1,1,0,
9.28,39,22,6.53,79,0.05,--,89.4,98.7,90.2,--,--,1,1,0,
9.27,39,21,6.53,79,0.057,--,89.4,98.7,90.1,--,--,1,1,0,
9.26,38,21,6.54,79,0.6,--,89.5,98.7,90.1,--,--,1,1,0,
9.25,38,21,6.55,79,0.057,--,89.4,98.7,90.1,--,--,1,1,0,
9.23,37,21,6.56,78,0.056,--,89.5,98.7,90.1,--,--,1,1,0,
9.24,37,21,6.55,79,0.058,--,89.4,98.7,90.1,--,--,1,1,0,
9.24,37,21,6.55,79,0.06,--,89.4,98.7,90.2,--,--,1,1,0,
9.24,36,20,6.55,79,0.059,--,89.5,98.7,90.2,--,--,1,1,0,
9.22,36,20,6.56,78,0.055,--,89.5,98.7,90.2,--,--,1,1,0,
9.22,36,20,6.56,78,0.056,--,89.5,98.7,90.2,--,--,1,1,0,
9.22,35,20,6.56,78,0.057,--,89.5,98.7,90.2,--,--,1,1,0,
9.21,35,20,6.57,78,0.057,--,89.5,98.7,90.2,--,--,1,1,0,
9.18,35,20,6.58,78,0.056,--,89.5,98.7,90.3,--,--,1,1,0,
9.17,35,19,6.59,77,0.055,--,89.5,98.7,90.3,--,--,1,1,1,end
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
